from,to,dist,time
571AC,571FC,26.067,44.68628571
571AC,571FN,22.192,38.04342857
571AC,571LD,26.354,45.17828571
571AC,571FT,35.7,61.2
571AC,571KB,34.315,58.82571429
571AC,571CS,25.23,43.25142857
571AC,571D,20.693,35.47371429
571AC,571DC,31.844,54.58971429
571AC,571CC,22.87,39.20571429
571AC,571FQ,20.328,34.848
571AC,571HK,33.413,57.27942857
571AC,571E,26.145,44.82
571AC,571EA,25.266,43.31314286
571AC,571HB,6.136,10.51885714
571AC,571KT,3.087,5.292
571AC,571DB,26.461,45.36171429
571AC,571DJ,23.925,41.01428571
571AC,571H,22.699,38.91257143
571AC,571TF,20.471,35.09314286
571AC,571TQ,15.924,27.29828571
571AC,571FF,35.792,61.35771429
571AC,571FH,42.991,73.69885714
571AC,571FL,38.249,65.56971429
571AC,571FJ,144.845,248.3057143
571AC,571SC,122.541,210.0702857
571AC,571FG,48.328,82.848
571AC,571MQ,24.334,41.71542857
571AC,571NF,32.231,55.25314286
571AC,571NG,42.949,73.62685714
571AC,571FA,22.06,37.81714286
571AC,571FP,20.663,35.42228571
571AC,571HJ,24.033,41.19942857
571AC,571LB,18.566,31.82742857
571AC,571QKA,32.368,55.488
571AC,571QKB,21.036,36.06171429
571AC,571QKC,35.464,60.79542857
571AC,571QKD,1.881,3.224571429
571AC,571QKE,28.418,48.71657143
571AC,571QKF,18.691,32.04171429
571AC,571QKG,40.866,70.056
571AC,571QKT,0,0
571AC,571FM,35.336,60.576
571AC,571FD,33.119,56.77542857
571AC,571FR,42.454,72.77828571
571AC,571FS,44.901,76.97314286
571AC,571LH,30.207,51.78342857
571AC,571SH,52.055,89.23714286
571AC,571FK,92.907,159.2691429
571AC,571G,71.052,121.8034286
571AC,571GB,59.009,101.1582857
571AC,571GC,75.492,129.4148571
571AC,571HG,79.801,136.8017143
571AC,571SB,68.003,116.5765714
571AC,571SD,67.932,116.4548571
571AC,571CK,24.811,42.53314286
571AC,571CL,28.519,48.88971429
571AC,571FB,30.6,52.45714286
571AC,571CD,29.181,50.02457143
571AC,571HN,50.442,86.472
571AC,571J,25.908,44.41371429
571AC,571JB,24.509,42.01542857
571AC,571KA,18.546,31.79314286
571AC,571KL,23.135,39.66
571AC,571FE,18.731,32.11028571
571AC,571MC,13.437,23.03485714
571AC,571MF,16.245,27.84857143
571AC,571M,21.777,37.332
571AC,571MB,18.98,32.53714286
571AC,571MD,33.078,56.70514286
571AC,571NA,49.886,85.51885714
571AC,571NE,44.345,76.02
571AC,571NC,13.753,23.57657143
571AC,571P,24.855,42.60857143
571AC,571PB,21.581,36.996
571AC,571PC,23.571,40.40742857
571AC,571PD,30.9,52.97142857
571AC,571AJ,27.443,47.04514286
571AC,571KJ,26.838,46.008
571AC,571PF,26.115,44.76857143
571AC,571PG,53.941,92.47028571
571AC,571PH,20.632,35.36914286
571AC,571AE,54.768,93.888
571AC,571HP,53.184,91.17257143
571AC,571QF,35.32,60.54857143
571AC,571QA,25.32,43.40571429
571AC,571QC,31.852,54.60342857
571AC,571QD,28.234,48.40114286
571AC,571QE,29.749,50.99828571
571AC,571QM,23.312,39.96342857
571AC,571L,110.752,189.8605714
571AC,571LA,109.264,187.3097143
571AC,571SF,184.152,315.6891429
571AC,571SA,162.756,279.0102857
571AC,571SE,157.737,270.4062857
571AC,571SP,178.329,305.7068571
571AC,571SQ,137.589,235.8668571
571AC,571ST,151.763,260.1651429
571AC,571NB,57.346,98.30742857
571AC,571NH,40.008,68.58514286
571AC,571QB,64.884,111.2297143
571AC,571FX,20.462,35.07771429
571AC,571KM,21.61,37.04571429
571AC,571TC,26.748,45.85371429
571AC,571TB,32.929,56.44971429
571AC,571TE,39.568,67.83085714
571AC,571TK,24.444,41.904
571AC,571TP,28.661,49.13314286
571AC,571W,2.061,3.533142857
571AC,571WA,16.806,28.81028571
571AC,571WW,22.284,38.20114286
571AQ,571AA,31.675,54.3
571AQ,571AD,28.81,49.38857143
571AQ,571AF,28.825,49.41428571
571AQ,571AG,41.668,71.43085714
571AQ,571AC,4.697,8.052
571AQ,571AM,15.525,26.61428571
571AQ,571AB,94.007,161.1548571
571AQ,571JC,95.229,163.2497143
571AQ,571KH,104.744,179.5611429
571AQ,571TH,128.342,220.0148571
571AQ,571TL,83.043,142.3594286
571AQ,571DA,27.156,46.55314286
571AQ,571K,22.233,38.11371429
571AQ,571KF,28.558,48.95657143
571AQ,571KC,25.434,43.60114286
571AQ,571TD,20.446,35.05028571
571AQ,571TN,22.103,37.89085714
571AQ,571HC,10.641,18.24171429
571AQ,571TM,11.759,20.15828571
571AQ,571B,30.005,51.43714286
571AQ,571BM,34.409,58.98685714
571AQ,571CAE,30.951,53.05885714
571AQ,571FC,24.196,41.47885714
571AQ,571FN,20.321,34.836
571AQ,571LD,25.66,43.98857143
571AQ,571FT,29.278,50.19085714
571AQ,571KB,31.082,53.28342857
571AQ,571CS,32.007,54.86914286
571AQ,571D,27.47,47.09142857
