from,to,dist,time
571AM,571JC,53.673,107.346
571AM,571KH,63.188,126.376
571AM,571TH,86.786,173.572
571AM,571TL,41.487,82.974
571AM,571DA,14.63,29.26
571AM,571K,6,12
571AM,571KF,11.056,22.112
571AM,571KC,15.727,31.454
571AM,571TD,12.574,25.148
571AM,571TN,21.281,42.562
571AM,571HC,11.209,22.418
571AM,571TM,9.216,18.432
571AM,571B,8.585,17.17
571AM,571BM,9.446,18.892
571AM,571CAE,15.619,36.238
571AM,571FC,16.005,37.01
571AM,571FN,17.512,40.024
571AM,571LD,13.556,32.112
571AM,571FT,17.135,39.27
571AM,571KB,15.75,36.5
571AM,571CS,6.942,13.884
571AM,571D,7.365,14.73
571AM,571DC,19.138,38.276
571AM,571CC,22.137,49.274
571AM,571FQ,27.308,59.616
571AM,571HK,40.393,85.786
571AM,571E,7.959,15.918
571AM,571EA,5.812,11.624
571AM,571HB,19.181,38.362
571AM,571KT,19.521,39.042
571AM,571DB,13.755,27.51
571AM,571DJ,11.219,22.438
571AM,571H,24.424,48.848
571AM,571TF,21.556,43.112
571AM,571TQ,21.094,42.188
571AM,571FF,17.227,39.454
571AM,571FH,22.058,49.116
571AM,571FL,19.684,44.368
571AM,571FJ,120.109,240.218
571AM,571SC,101.393,202.786
571AM,571FG,55.547,116.094
571AM,571MQ,58.383,121.766
571AM,571NF,18.891,37.782
571AM,571NG,31.67,63.34
571AM,571FA,15.532,36.064
571AM,571FP,14.135,33.27
571AM,571HJ,13.277,31.554
571AM,571LB,12.038,29.076
571AM,571QKA,19.028,38.056
571AM,571QKB,28.255,56.51
571AM,571QKC,18.583,37.166
571AM,571QKD,15.342,30.684
571AM,571QKE,14.252,33.504
571AM,571QKF,0.973,1.946
571AM,571QKG,28.292,56.584
571AM,571QKT,0,5
571AM,571FM,16.771,38.542
571AM,571FD,40.099,85.198
571AM,571FR,29.809,64.618
571AM,571FS,51.881,108.762
571AM,571LH,26.174,57.348
571AM,571SH,59.035,123.07
